Año,Mes,Dia,O3
2012,8,6,17.88
2012,8,7,21.64
2012,8,8,25.03
2012,8,9,25.03
2012,8,10,23.25
2012,8,11,16.63
2012,8,12,10.1
2012,8,13,6.71
2012,8,14,4.2
2012,8,15,2.35

     O3
[[11.049682 ]
 [24.293756 ]
 [29.322695 ]
 [27.418411 ]
 [21.472998 ]
 [14.547351 ]
 [ 9.015925 ]
 [ 5.686252 ]
 [ 4.305669 ]
 [ 4.1905904]]
